saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,scan
68.205.180.151,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
213.143.14.57,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
203.158.225.181,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
217.26.171.158,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
151.84.216.30,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
24.188.157.176,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
10.19.21.18,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
211.171.185.2,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
62.22.70.78,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
186.4.1.206,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
202.57.23.253,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
168.114.52.1,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
23.224.55.83,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
76.24.156.119,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
79.126.122.214,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
174.102.162.253,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
80.88.193.82,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
