saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,category
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51678,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51680,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51682,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51684,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51686,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51688,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51690,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51692,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51694,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51696,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51698,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51700,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51702,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51704,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51706,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51708,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51710,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51712,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51714,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51718,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51720,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
210.117.181.96,210.117.181.86,tcp,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,51722,20223,16,957,957,120,598.3864617347717,0.20053929638065357,0,4
